question_id,books,categories,coefficient,collection,count_qrp,is_free,knowledge,lessons,similar,sources,specialty,type
QI_Q92,,SEM,1,CCB_2017,,0,N342N06 ,syncope_epilepsie ,group_3,,neuro ,QRM
QI_Q24,,,1,ECNi_2018,,0,N037N05 ,ivg_legal ,,,gyneco ,QRM
QI_Q26,,,1,CCB_2016,,0,N067N02 ,,,,psy ,QRM
QI_Q22,,,1,CCB_2017,,0,N339N05 ,,,,cardiovasc ,QRM
DP1_Q10,,,1,CCB_2016,,0,N278N03 ,depistage_neonat ,group_568,,pedia ,QRM
DP15_Global,URO ; ONC ; MIT ,,,CCB_2017,,0,,,,k_prostate ,uro ,
DP11_Q4,,SEM,1,CCB_2017,,0,N066N08 ,diag_edc ,,,psy ,QRM
DP18_Q11,,IMG,1,ECNi_2019,,0,N298N01 ,,,,orl ,QRM
QI_Q60,,,1,CCB_2017,,0,N339N11 ,,,,cardiovasc ,QRM
QI_Q110,,,1,CCB_2017,,0,N020N03 ,investigateur_promoteur ,,,sante_pub ,QRM
DP18_Q17,,SEM,1,ECNi_2021,,0,N294N12 ,ei_cyclophosphamide ; ei_platines ,,,onco ,QRM
QI_Q7,,,1,CCB_2016,,0,N241N08 ,,,,endoc ,QRM
QI_Q25,,,1,CCB_2017,,0,N335N02 ,,,,orl ,QRM
DP15_Q12,,SEM,1,CCB_2016,2,0,N261N14 ,,group_48,,nephro ,QRP
DP13_Q12,,SEM,1,ECNi_2016,,0,N288N07 ,,group_199,,hge ,QRM
DP12_Q7,,PHY,1,CCB_2017,,0,N267N26 ,,,,cardiovasc ,QRM
QI_Q74,,PHY,1,ECNi_2019,,0,N167N02 ,transmission_virus_hepatotropes ,,,infectio ,QRM
QI_Q35,,,1,CCB_2016,,0,N071N09 ,,,,psy ,QRM
DP10_Q13,,PHY,1,ECNi_2019,,0,N194N14 ,,,,med_interne ,QRM
DP17_Q4,,,1,ECNi_2022,,0,N129N09 ,arthralgie_inflammatoire_mecanique ,,,rhumato ,QRM
QI_Q84,,ECG,1,CCB_2017,,0,N231N25 ,lecture_ecg ,group_123,,cardiovasc ,QRM
QI_Q111,,,1,ECNi_2022,,0,N027N05 ,,group_305,,gyneco ,QRM
QI_Q71,,,1,ECNi_2019,,0,N204N10 ,pseudoasthme_cardiaque ,group_446,,pneumo ,QRM
