lesson,Annales,CCB asclepia,Created time,Dernière MAJ,Expiration,ID,Illustrations,Interface,Items,LiSA,QI Frites,Questions codées,Questions partageant même connaissances,Rang,Relecteur,Rédacteur,Similaires,Status,Transféré,Vignette RS,books,is_free,knowledges,sources,title
semiologie_myasthenie,"DP4_Q4 (https://www.notion.so/DP4_Q4-4a0dd59d541e4e11a8804994ac76d358?pvs=21), QI_Q113 (https://www.notion.so/QI_Q113-4bd98d6821824ee28b588e4566d0de98?pvs=21), QI_Q82 (https://www.notion.so/QI_Q82-cff80ff8cc134bbfba2d0fd4cb7d739f?pvs=21), DP16_Q3 (https://www.notion.so/DP16_Q3-e9653cd63a7d4e0ca2fd5f870eafd029?pvs=21)","UC2-QI_Q6 (https://www.notion.so/UC2-QI_Q6-1af9ed05ab6b806fae1de84ea9964e85?pvs=21), UC2-QI_Q15 (https://www.notion.so/UC2-QI_Q15-4d57371c779246328d4ee616259dbdba?pvs=21)","March 5, 2023 3:51 PM",,,824,Pas d'illustration,https://interface.asclepia.io/admin/datas/lesson/824/change/,N98,https://livret.uness.fr/lisa/2026/Conna%C3%AEtre_les_modalit%C3%A9s_du_diagnostic_d%27une_myasth%C3%A9nie_OIC-098-02-A,"QI_Q3264 (https://www.notion.so/QI_Q3264-25b9ed05ab6b808f806cf6700c4c3e87?pvs=21), QI_Q5120 (https://www.notion.so/QI_Q5120-28d9ed05ab6b80bc895df304535e7701?pvs=21), QI_Q644 (https://www.notion.so/QI_Q644-96a06d45700a42a5b7ecac9dfba70a3d?pvs=21), QI_Q311 (https://www.notion.so/QI_Q311-d3164c53e8d74f9db0c2e770fe60d330?pvs=21)","DP4_Q4,QI_Q113,QI_Q82,DP16_Q3","https://www.notion.so/4a0dd59d541e4e11a8804994ac76d358, https://www.notion.so/4bd98d6821824ee28b588e4566d0de98, https://www.notion.so/cff80ff8cc134bbfba2d0fd4cb7d739f",A,Antoine D,Louise,"https://www.notion.so/1ce9ed05ab6b80d9a3d2ca163b4e82f4,https://www.notion.so/1ce9ed05ab6b80d9a3d2ca163b4e82f4",Publiée,Terminé,Pas de vignette,NEU (https://www.notion.so/NEU-9bcfc12415c6451d93ac2feabe6c356e?pvs=21),1,N098N02 (https://www.notion.so/N098N02-96663addd99f46b7abd0bb2d908be52c?pvs=21),,Sémiologie clinique de la myasthénie auto-immune
numerotations_dents,"QI_Q105 (https://www.notion.so/QI_Q105-336bd2c49cda42bb83cbff52e115a672?pvs=21), UC1-DP51_Q1 (https://www.notion.so/UC1-DP51_Q1-2a59ed05ab6b80df8f1ec9545a9f7fcf?pvs=21), UC1-DP53_Q1 (https://www.notion.so/UC1-DP53_Q1-117b26c425644d9ba9379349476a27e0?pvs=21)",UC3-DP23_Q1 (https://www.notion.so/UC3-DP23_Q1-1af9ed05ab6b80879f0cf81a59e38977?pvs=21),"March 5, 2023 3:51 PM",,,75,Pas d'illustration,https://interface.asclepia.io/admin/datas/lesson/75/change/,N47,"
https://livret.uness.fr/lisa/2026/Conna%C3%AEtre_la_num%C3%A9rotation_dentaire_internationale_OIC-047-16-A
",,"QI_Q105,UC1-DP51_Q1,UC1-DP53_Q1","https://www.notion.so/117b26c425644d9ba9379349476a27e0, https://www.notion.so/2a59ed05ab6b80df8f1ec9545a9f7fcf",A,,Denis,"https://www.notion.so/2a59ed05ab6b807da052c5595a366ca4,https://www.notion.so/2a59ed05ab6b807da052c5595a366ca4",Publiée,Image à insérer,Pas de vignette,"CMF (https://www.notion.so/CMF-91c61dc377a14ebaa1fba598f73e170c?pvs=21), PED (https://www.notion.so/PED-271f6f29c76645f1bd54873f871b7d6e?pvs=21)",0,N047N16 (https://www.notion.so/N047N16-4e8cfb35689d4272bcbdf83bc21df23c?pvs=21),,Numérotation de la denture déciduale et définitive
classification_maladie_renale_chronique,"DP1_Q6 (https://www.notion.so/DP1_Q6-058742e24a344e42aa29b8c671a0a471?pvs=21), UC3-DP2_Q1 (https://www.notion.so/UC3-DP2_Q1-39431e58873243d98e97d7465aad3b82?pvs=21), DP13_Q2 (https://www.notion.so/DP13_Q2-5d7e2d95e5e04750ae867edec870f83b?pvs=21), DP9_Q9 (https://www.notion.so/DP9_Q9-9e048dff932d4956b9a183dbc5088523?pvs=21), UC2-KFP21_Q1 (https://www.notion.so/UC2-KFP21_Q1-87b3bc22f978424daca42d7aa7cfc1f5?pvs=21), UC3-DP40_Q4 (https://www.notion.so/UC3-DP40_Q4-9bbf219eaaf945a89b2807b827bc85fe?pvs=21), UC3-DP40_Q6 (https://www.notion.so/UC3-DP40_Q6-967192253b984ae7810985479cf2460f?pvs=21), UC3-DP36_Q1 (https://www.notion.so/UC3-DP36_Q1-1239ed05ab6b806aaa75d9ceab37d0b7?pvs=21)","UC3-KFP12_Q1 (https://www.notion.so/UC3-KFP12_Q1-360e326153c34f0d8aa0fedf20ea9a12?pvs=21), UC3-DP10_Q1 (https://www.notion.so/UC3-DP10_Q1-7a944a6860bf41a7afedd6a785bad63a?pvs=21), UC2-DP26_Q3 (https://www.notion.so/UC2-DP26_Q3-9b8004d8ecb14c29a2a9b58e5aaa700c?pvs=21)","March 5, 2023 3:51 PM",,,392,Pas d'illustration,https://interface.asclepia.io/admin/datas/lesson/392/change/,N264,https://livret.uness.fr/lisa/2026/Conna%C3%AEtre_les_diff%C3%A9rents_stades_de_la_MRC_OIC-264-07-B,"QI_Q1210 (https://www.notion.so/QI_Q1210-2f36e02b76c44febba638e29180a8284?pvs=21), QI_Q1223 (https://www.notion.so/QI_Q1223-8caae44d82074a43a39b47e0a7b4e71d?pvs=21), QI_Q1229 (https://www.notion.so/QI_Q1229-9373373758d54ece896ef42175e66ecb?pvs=21)","DP1_Q6,UC3-DP2_Q1,DP13_Q2,DP9_Q9,UC2-KFP21_Q1,UC3-DP40_Q4,UC3-DP40_Q6,UC3-DP36_Q1","https://www.notion.so/87b3bc22f978424daca42d7aa7cfc1f5, https://www.notion.so/9e048dff932d4956b9a183dbc5088523",B,,Mustafa Habib,"https://www.notion.so/1ce9ed05ab6b803cbae6ca3d11a6246b,https://www.notion.so/1ce9ed05ab6b803cbae6ca3d11a6246b,https://www.notion.so/1ce9ed05ab6b80c18951c799555b29b5",Publiée,Terminé,Pas de vignette,NEP (https://www.notion.so/NEP-d090aa92851f4f88a3bac671a533d5a8?pvs=21),1,N264N07 (https://www.notion.so/N264N07-4f6cf4d2ed88424cad82543f1560f52e?pvs=21),,Classification de la maladie rénale chronique
superiorite_non_inferiorite_equivalence,"UC3-QI_Q31 (https://www.notion.so/UC3-QI_Q31-5397f88e73494eb5b4e2779c92dec29f?pvs=21), QI_Q19 (https://www.notion.so/QI_Q19-68760e774d2044cd88cfed3f13066519?pvs=21)",,"March 5, 2023 3:51 PM",,,481,Pas d'illustration,https://interface.asclepia.io/admin/datas/lesson/481/change/,N323,https://livret.uness.fr/lisa/2026/Conna%C3%AEtre_la_typologie_des_essais_randomis%C3%A9s_OIC-323-24-A,,"UC3-QI_Q31,QI_Q19","https://www.notion.so/5397f88e73494eb5b4e2779c92dec29f, https://www.notion.so/68760e774d2044cd88cfed3f13066519",A,,,,Publiée,Terminé,Pas de vignette,"LCA (https://www.notion.so/LCA-8ad93473ea2e4a008b38669bdba1b74c?pvs=21), LCA12 (https://www.notion.so/LCA12-ece02a51e77545af99c1ec554b616b3b?pvs=21), SPU_SPU (https://www.notion.so/SPU_SPU-c6389188e0b841268ede395b2f9e106b?pvs=21)",0,N323N24 (https://www.notion.so/N323N24-83c6f5e7d07649eb9228c42026edb291?pvs=21),,"Essai de supériorité, non-infériorité ou équivalence ?"
transmission_virus_hepatotropes,"QI_Q74 (https://www.notion.so/QI_Q74-01e5e1d0a8ed4028992da9f296f75b38?pvs=21), DP7_Q13 (https://www.notion.so/DP7_Q13-0f25475e2c544790a560844e8d1a6221?pvs=21), UC1-QI_Q20 (https://www.notion.so/UC1-QI_Q20-2da3c5d3e8594bc580aedbf26f7610e4?pvs=21), UC2-DP26_Q4 (https://www.notion.so/UC2-DP26_Q4-6ba46d380a11435f95b41645c2a111d7?pvs=21), QI_Q20 (https://www.notion.so/QI_Q20-6fed23acdbbc43339c9ff8f5f1a2fd1e?pvs=21), UC1-KFP8_Q1 (https://www.notion.so/UC1-KFP8_Q1-c9f65229a1644d49b310c3f5e72d531f?pvs=21), DP7_Q15 (https://www.notion.so/DP7_Q15-eb501e4047d1462b84c15c49be299116?pvs=21), UC3-DP4_Q2 (https://www.notion.so/UC3-DP4_Q2-1239ed05ab6b807e8633ed70b85d8a6d?pvs=21)",,"March 5, 2023 3:51 PM",,,239,Pas d'illustration,https://interface.asclepia.io/admin/datas/lesson/239/change/,N167,https://livret.uness.fr/lisa/2026/Conna%C3%AEtre_les_modes_de_transmission_et_la_pr%C3%A9valence_mondiale_des_diff%C3%A9rentes_h%C3%A9patites_virales_OIC-167-02-A,,"QI_Q74,DP7_Q13,UC1-QI_Q20,UC2-DP26_Q4,QI_Q20,UC1-KFP8_Q1,DP7_Q15,UC3-DP4_Q2","https://www.notion.so/01e5e1d0a8ed4028992da9f296f75b38, https://www.notion.so/2da3c5d3e8594bc580aedbf26f7610e4, https://www.notion.so/6fed23acdbbc43339c9ff8f5f1a2fd1e, https://www.notion.so/eb501e4047d1462b84c15c49be299116",A,,Mustafa Habib,"https://www.notion.so/1ce9ed05ab6b806e92ebdf8f087b029a,https://www.notion.so/1ce9ed05ab6b806e92ebdf8f087b029a,https://www.notion.so/1ce9ed05ab6b80698adfe914c914872b,https://www.notion.so/1ce9ed05ab6b806e92ebdf8f087b029a",Publiée,Image à insérer,Pas de vignette,"HGE (https://www.notion.so/HGE-1919b6f7cd214ce182d463189ac67f00?pvs=21), MIT (https://www.notion.so/MIT-a7b5a826a7294230805d7008d02b8317?pvs=21)",0,N167N02 (https://www.notion.so/N167N02-8625865c3dd8416989d71aa3b5e5535c?pvs=21),,Modes de transmission des virus hépatotropes
diag_trouble_symptomatologie_somatique_tss,"QI_Q49 (https://www.notion.so/QI_Q49-0e4148b7eb6149a3bbf944cf03cc4ce1?pvs=21), DP18_Q1 (https://www.notion.so/DP18_Q1-1932b52af2834386973247afad1b804e?pvs=21), DP9_Q1 (https://www.notion.so/DP9_Q1-48ed383e4f4a4a01973055568ffa2b2b?pvs=21), QI_Q87 (https://www.notion.so/QI_Q87-4db5e36f5b2640ffa6e0708421cc7c63?pvs=21), UC3-QI_Q11 (https://www.notion.so/UC3-QI_Q11-8a9b09ed584b4d22b4ae6fdf7f51c355?pvs=21), DP10_Q3 (https://www.notion.so/DP10_Q3-9fc5cf8422c14921af608db642ba19fe?pvs=21), QI_Q100 (https://www.notion.so/QI_Q100-bc23cebed9fb4f5dbd6b01af456f7a55?pvs=21), DP18_Q2 (https://www.notion.so/DP18_Q2-f4ec9b7d288a4a3c951595a166e9960b?pvs=21), UC1-QI_Q36 (https://www.notion.so/UC1-QI_Q36-3c5ed7caa28e4608a7b2a72ac3dace5b?pvs=21)",,"March 5, 2023 3:51 PM",,,1286,Pas d'illustration,https://interface.asclepia.io/admin/datas/lesson/1286/change/,N72,https://livret.uness.fr/lisa/2026/Conna%C3%AEtre_la_s%C3%A9miologie_des_principaux_troubles_OIC-072-06-A,"QI_Q4706 (https://www.notion.so/QI_Q4706-2699ed05ab6b80019d17d5a1a605433b?pvs=21), QI_Q4708 (https://www.notion.so/QI_Q4708-2699ed05ab6b80119a9cc7c71942df50?pvs=21), QI_Q4711 (https://www.notion.so/QI_Q4711-2699ed05ab6b8020a3f5e993bd03d59b?pvs=21), QI_Q4702 (https://www.notion.so/QI_Q4702-2699ed05ab6b802fb8b6f2d418071159?pvs=21), QI_Q4704 (https://www.notion.so/QI_Q4704-2699ed05ab6b804aa190feea26d06e03?pvs=21), QI_Q4712 (https://www.notion.so/QI_Q4712-2699ed05ab6b805fb8a0c1c03ac2dd2a?pvs=21), QI_Q4710 (https://www.notion.so/QI_Q4710-2699ed05ab6b806f8868e4050f543820?pvs=21), QI_Q4709 (https://www.notion.so/QI_Q4709-2699ed05ab6b807d95acf8c5eb47d272?pvs=21), QI_Q4707 (https://www.notion.so/QI_Q4707-2699ed05ab6b8085a0c7d103cd109c8a?pvs=21), QI_Q4705 (https://www.notion.so/QI_Q4705-2699ed05ab6b80be8aeef372a879db14?pvs=21), QI_Q4703 (https://www.notion.so/QI_Q4703-2699ed05ab6b80e3a6e6d8a0de99c1ce?pvs=21)","QI_Q49,DP18_Q1,DP9_Q1,QI_Q87,UC3-QI_Q11,DP10_Q3,QI_Q100,DP18_Q2,UC1-QI_Q36","https://www.notion.so/0e4148b7eb6149a3bbf944cf03cc4ce1, https://www.notion.so/3c5ed7caa28e4608a7b2a72ac3dace5b, https://www.notion.so/48ed383e4f4a4a01973055568ffa2b2b, https://www.notion.so/4db5e36f5b2640ffa6e0708421cc7c63, https://www.notion.so/8a9b09ed584b4d22b4ae6fdf7f51c355",A,Victor K,Dima,"https://www.notion.so/1ce9ed05ab6b80f796aad1c76086968d,https://www.notion.so/1ce9ed05ab6b80f796aad1c76086968d,https://www.notion.so/1ce9ed05ab6b80b0a06bf74ff2a4744e,https://www.notion.so/1ce9ed05ab6b80b0a06bf74ff2a4744e",Publiée,Non réalisé,Pas de vignette,PSY (https://www.notion.so/PSY-ef2a135d3a4c486e812ea75f3d9a4aa5?pvs=21),0,N072N06 (https://www.notion.so/N072N06-5a67f9b9d28e43d89186d9627eaf2de1?pvs=21),,Diagnostiquer un trouble à symptomatologie somatique
sapl_allongement_tca,"DP2_Q12 (https://www.notion.so/DP2_Q12-5752650ea9a749efafb3285a81d8c02a?pvs=21), QI_Q45 (https://www.notion.so/QI_Q45-773e0db82b5b4aaf90fe252f158596d5?pvs=21), QI_Q42 (https://www.notion.so/QI_Q42-87e5043d39a045b2bac198b215a16dd3?pvs=21), UC3-QI_Q33 (https://www.notion.so/UC3-QI_Q33-fcddff35446345a9b7e403992a9b861a?pvs=21), UC2-QI_Q33 (https://www.notion.so/UC2-QI_Q33-a2a41c1d434e43b7ab108971d4a3d8f0?pvs=21)",UC1-QI_Q48 (https://www.notion.so/UC1-QI_Q48-1af9ed05ab6b800bb8b0cea0b6da386e?pvs=21),"March 5, 2023 3:51 PM",,,275,Pas d'illustration,https://interface.asclepia.io/admin/datas/lesson/275/change/,"N194,N216","https://livret.uness.fr/lisa/2026/Conna%C3%AEtre_les_crit%C3%A8res_diagnostiques_de_SAPL_OIC-194-07-B,https://livret.uness.fr/lisa/2026/Identifier_les_anomalies_biologiques_devant_faire_%C3%A9voquer_un_d%C3%A9ficit_constitutionnel_ou_acquis_en_facteur_de_la_coagulation_OIC-216-07-B","QI_Q818 (https://www.notion.so/QI_Q818-118b58c2870c43d59a3ef968512ce8bb?pvs=21), QI_Q814 (https://www.notion.so/QI_Q814-7a5a565ed3194cf699b2df522ab19777?pvs=21), QI_Q816 (https://www.notion.so/QI_Q816-c69a0faf8bfb46d1b2f8e8951629c0d2?pvs=21)","DP2_Q12,QI_Q45,QI_Q42,UC3-QI_Q33,UC2-QI_Q33","https://www.notion.so/6216a962df8743cab51dede39d43393c, https://www.notion.so/640f717586d84f0a83b8d830097399c0, https://www.notion.so/67b9037681234106997659de0ebf02ca, https://www.notion.so/a2a41c1d434e43b7ab108971d4a3d8f0,https://www.notion.so/048dff5b386d4e6381a67fa2e059ad77, https://www.notion.so/147bc8b3b73e4c46979aa15569b35962, https://www.notion.so/335a46990de04d88a2f2400c96e789b6, https://www.notion.so/5c16bb3bcd0248618745427489a48a7c, https://www.notion.so/633955bb3a8d492d98e39162c2d1e6af, https://www.notion.so/9470961b1e3940339eb0646b9cfaf5e2, https://www.notion.so/af5d91b36abf4adfb9bfa120645bcd73, https://www.notion.so/defcd4e11e894c9d8b1fd06165e41484","B,B",Mustafa Habib,,"https://www.notion.so/1ce9ed05ab6b8013a851fd2e7f1d6023,https://www.notion.so/1ce9ed05ab6b8036a825d8f53ef4cabb,https://www.notion.so/1ce9ed05ab6b802c9470d407cf24cb4f,https://www.notion.so/1ce9ed05ab6b8013a851fd2e7f1d6023",Publiée,Terminé,Pas de vignette,"HEM (https://www.notion.so/HEM-58376ef0b4724a19aa26b12d52d62aa8?pvs=21), MII (https://www.notion.so/MII-b35ed2b2ea584bdc80f106ffdb527c56?pvs=21)",0,"N194N07 (https://www.notion.so/N194N07-ab27dd3ec7b9403386d8d9cd414334a7?pvs=21), N216N07 (https://www.notion.so/N216N07-b9cc559c76a74fce9fb38ceaceaa5884?pvs=21)",,Syndrome des anticorps antiphospholipides et allongement du TCA
hospit_palu,"DP1_Q14 (https://www.notion.so/DP1_Q14-128caf1b3fcb4fa8aa1a2321b9e81f0e?pvs=21), DP1_Q13 (https://www.notion.so/DP1_Q13-8f4c44c428864a43b0ede7c4b5e46493?pvs=21), DP13_Q8 (https://www.notion.so/DP13_Q8-8fd0579ce650493f8080dc96f7db2634?pvs=21), UC1-KFP40_Q2 (https://www.notion.so/UC1-KFP40_Q2-2a59ed05ab6b80e9af9cde253849cd93?pvs=21)",UC1-QI_Q42 (https://www.notion.so/UC1-QI_Q42-7fb442af54f14a2083f22b26abf3f383?pvs=21),"March 5, 2023 3:51 PM",,,246,Pas d'illustration,https://interface.asclepia.io/admin/datas/lesson/246/change/,N170,https://livret.uness.fr/lisa/2026/Conna%C3%AEtre_les_principes_g%C3%A9n%C3%A9raux_de_la_prise_en_charge_OIC-170-07-A,"QI_Q3383 (https://www.notion.so/QI_Q3383-25a9ed05ab6b802eb9aae9d96a71a662?pvs=21), QI_Q3389 (https://www.notion.so/QI_Q3389-25a9ed05ab6b80918351db8b399c8b9c?pvs=21)","DP1_Q14,DP1_Q13,DP13_Q8,UC1-KFP40_Q2","https://www.notion.so/128caf1b3fcb4fa8aa1a2321b9e81f0e, https://www.notion.so/2a59ed05ab6b80e9af9cde253849cd93, https://www.notion.so/8fd0579ce650493f8080dc96f7db2634",A,,Mustafa Habib,"https://www.notion.so/1ce9ed05ab6b800b9fd1dad719859199,https://www.notion.so/1ce9ed05ab6b80f2b537d33917f4f862,https://www.notion.so/1ce9ed05ab6b800b9fd1dad719859199,https://www.notion.so/1ce9ed05ab6b800b9fd1dad719859199",Publiée,Terminé,Pas de vignette,MIT (https://www.notion.so/MIT-a7b5a826a7294230805d7008d02b8317?pvs=21),1,N170N07 (https://www.notion.so/N170N07-ce151c7dccbf4d45873c4eb328b1b236?pvs=21),,Critères d’hospitalisation du paludisme
exploration_radio_traumatologie_centrale,"DP6_Q2 (https://www.notion.so/DP6_Q2-20061d0c4bf443dabb9fc86b71b6f34d?pvs=21), DP12_Q2 (https://www.notion.so/DP12_Q2-5496019a785543d6ba71e3256971adc8?pvs=21)",,"March 5, 2023 3:51 PM",,,507,Pas d'illustration,https://interface.asclepia.io/admin/datas/lesson/507/change/,N334,https://livret.uness.fr/lisa/2026/Conna%C3%AEtre_les_indications_et_savoir_demander_un_examen_d%27imagerie_devant_un_traumatis%C3%A9_des_membres_et/ou_du_bassin_OIC-334-37-A,QI_Q4392 (https://www.notion.so/QI_Q4392-25a9ed05ab6b805488c1dd804ab7ace1?pvs=21),"DP6_Q2,DP12_Q2",,A,,Hugo Vilmin,https://www.notion.so/1ce9ed05ab6b80848b3bde448aa3858b,Publiée,Terminé,Pas de vignette,COT (https://www.notion.so/COT-bdd92695910443918e277e246b3f1c15?pvs=21),0,N334N37 (https://www.notion.so/N334N37-42c0fcce20714940b5d9e83b0c64e965?pvs=21),,Exploration radiologique en traumatologie centrale
suivi_grossesse,"DP10_Q15 (https://www.notion.so/DP10_Q15-06bd8a1cbe914ec08a58f375094e8a2d?pvs=21), DP5_Q10 (https://www.notion.so/DP5_Q10-3259a78822814ca9853b09f8b1a87873?pvs=21), DP2_Q1 (https://www.notion.so/DP2_Q1-af6f220fc17240a096aadfa51d5d62f9?pvs=21), UC4-DP26_Q1 (https://www.notion.so/UC4-DP26_Q1-b9c6eeeaa1a74ae1943aa120bbf78a18?pvs=21), QI_Q99 (https://www.notion.so/QI_Q99-c2a5a39b710741848fc83ce5490f6169?pvs=21), UC1-DP11_Q1 (https://www.notion.so/UC1-DP11_Q1-fa6d3a2f0c2a467b872d44900d787e6b?pvs=21), UC1-QI_Q46 (https://www.notion.so/UC1-QI_Q46-b64c3d0d5d7c4b2b9f3202984228d133?pvs=21)",UC2-QI_Q13 (https://www.notion.so/UC2-QI_Q13-1af9ed05ab6b809793a0da785b594b65?pvs=21),"March 5, 2023 3:51 PM",,,55,Pas d'illustration,https://interface.asclepia.io/admin/datas/lesson/55/change/,N23,"
https://livret.uness.fr/lisa/2026/Examens_biologiques_OIC-023-07-A
","QI_Q1751 (https://www.notion.so/QI_Q1751-25a9ed05ab6b8029a0d8e958b73b9fe0?pvs=21), QI_Q1747 (https://www.notion.so/QI_Q1747-25a9ed05ab6b806db5bfdaee45253fe4?pvs=21), QI_Q1746 (https://www.notion.so/QI_Q1746-25a9ed05ab6b80918ec6d488cf86586f?pvs=21)","DP10_Q15,DP5_Q10,DP2_Q1,UC4-DP26_Q1,QI_Q99,UC1-DP11_Q1,UC1-QI_Q46","https://www.notion.so/06bd8a1cbe914ec08a58f375094e8a2d, https://www.notion.so/0ed3745cc67d490ea59fd52c6650aece, https://www.notion.so/3259a78822814ca9853b09f8b1a87873, https://www.notion.so/6cda5d7b92864b38920b6f908c22e023, https://www.notion.so/7d8b45dc76e9421aaeab2a245b19b316, https://www.notion.so/af6f220fc17240a096aadfa51d5d62f9",A,Dana Smaily,Mustafa Habib,"https://www.notion.so/1ce9ed05ab6b8072b604e43a25e819e9,https://www.notion.so/1ce9ed05ab6b801081daf61f49fd6ffe,https://www.notion.so/1ce9ed05ab6b801081daf61f49fd6ffe",À modifier,Image à insérer,Pas de vignette,GYO (https://www.notion.so/GYO-6481918bf3ba4cb298b95d37eb7b4161?pvs=21),0,N023N07 (https://www.notion.so/N023N07-25981c2327aa47dcb9f02ebf872b6755?pvs=21),,Suivi d'une grossesse
